sessionid,period,subject,group,profit,totalprofit,type,price,share,accept,ptprofit,satmath,satverbal,sateng,poli_liberal,tv
191017_1017,1,1,2,3,3,2,10,10,1,4,11,13,13,6,14
191017_1017,1,2,2,3,3,2,10,35,1,4,14,12,13,6,14
191017_1017,1,3,1,8,8,2,15,20,1,-1,13,13,15,5,14
191017_1017,1,4,2,4,4,1,10,35,1,3,14,14,14,3,14
191017_1017,1,5,2,0,0,2,18,10,0,0,15,14,14,6,14
191017_1017,1,6,3,0,0,2,14,10,0,0,15,14,14,4,14
191017_1017,1,7,3,0,0,1,14,19,1,7,10,13,14,5,14
191017_1017,1,8,1,-1,-1,1,15,15,1,8,15,14,13,6,14
191017_1017,1,9,2,4,4,1,10,10,1,3,14,14,14,7,14
191017_1017,1,10,3,-2,-2,1,16,25,1,9,10,15,15,3,14
191017_1017,1,11,2,7,7,2,14,15,1,0,14,14,14,5,14
191017_1017,1,12,2,0,0,1,14,15,1,7,12,13,14,4,14
191017_1017,1,13,3,3,3,2,10,22,1,4,15,10,15,5,14
191017_1017,1,14,1,8,8,2,15,15,1,-1,15,13,13,6,14
191017_1017,1,15,1,0,0,1,20,13,0,0,12,12,12,6,14
191017_1017,1,16,2,0,0,1,18,10,0,0,14,12,14,2,14
191017_1017,1,17,3,0,0,1,14,10,0,0,12,14,14,5,14
191017_1017,1,18,3,7,7,2,14,19,1,0,0,0,0,4,14
191017_1017,1,19,1,0,0,1,18,15,0,0,14,14,13,3,14
191017_1017,1,20,1,0,0,2,18,15,0,0,14,14,14,7,14
191017_1017,1,21,1,0,0,2,20,13,0,0,11,13,14,3,14
191017_1017,1,22,1,-1,-1,1,15,20,1,8,14,14,15,2,14
191017_1017,1,23,3,4,4,1,10,22,1,3,12,14,14,5,14
191017_1017,1,24,3,9,9,2,16,25,1,-2,14,14,15,3,14
191017_1017,2,1,2,9.5,12.5,2,10,10,1,-9,11,13,13,6,1
191017_1017,2,2,2,-0.5,2.5,2,0,11,1,1,14,12,13,6,1
191017_1017,2,3,1,13.5,21.5,2,14,16,1,-13,13,13,15,5,1
191017_1017,2,4,2,-11,-7,1,12,30,1,11.5,14,14,14,3,1
191017_1017,2,5,2,9.5,9.5,2,10,13,1,-9,15,14,14,6,1
191017_1017,2,6,3,9.5,9.5,2,10,30,1,-9,15,14,14,4,1
191017_1017,2,7,3,-13,-13,1,14,17,1,13.5,10,13,14,5,1
191017_1017,2,8,1,-13,-14,1,14,15,1,13.5,15,14,13,6,1
191017_1017,2,9,2,-9,-5,1,10,10,1,9.5,14,14,14,7,1
191017_1017,2,10,3,-9,-11,1,10,30,1,9.5,10,15,15,3,1
191017_1017,2,11,2,11.5,18.5,2,12,30,1,-11,14,14,14,5,1
191017_1017,2,12,2,-9,-9,1,10,13,1,9.5,12,13,14,4,1
